Time 1: PC=0x085 instruction = 0xE80 (CLA), rA = 0x000, rL = 0
Time 3: PC=0x086 instruction = 0x203 (TAD), rA = 0x0CF, rL = 0
Time 5: PC=0x087 instruction = 0x819 (JMS), rA = 0x0CF, rL = 0
Time 7: PC=0x01A instruction = 0x618 (DCA), rA = 0x000, rL = 0
Time 10: PC=0x01B instruction = 0x318 (TAD I), rA = 0x050, rL = 0
Time 11: PC=0x01C instruction = 0xF28 (SZA RSS), rA = 0x050, rL = 0
Time 12: PC=0x01E instruction = 0xC20 (IOT 4), rA = 0x050, rL = 0
Time 14: PC=0x01F instruction = 0x418 (ISZ), rA = 0x050, rL = 0
Time 15: PC=0x020 instruction = 0xE80 (CLA), rA = 0x000, rL = 0
Time 16: PC=0x021 instruction = 0xA1B (JMP), rA = 0x000, rL = 0
Time 19: PC=0x01B instruction = 0x318 (TAD I), rA = 0x06C, rL = 0
Time 20: PC=0x01C instruction = 0xF28 (SZA RSS), rA = 0x06C, rL = 0
Time 21: PC=0x01E instruction = 0xC20 (IOT 4), rA = 0x06C, rL = 0
Time 23: PC=0x01F instruction = 0x418 (ISZ), rA = 0x06C, rL = 0
Time 24: PC=0x020 instruction = 0xE80 (CLA), rA = 0x000, rL = 0
Time 25: PC=0x021 instruction = 0xA1B (JMP), rA = 0x000, rL = 0
Time 28: PC=0x01B instruction = 0x318 (TAD I), rA = 0x065, rL = 0
Time 29: PC=0x01C instruction = 0xF28 (SZA RSS), rA = 0x065, rL = 0
Time 30: PC=0x01E instruction = 0xC20 (IOT 4), rA = 0x065, rL = 0
Time 32: PC=0x01F instruction = 0x418 (ISZ), rA = 0x065, rL = 0
Time 33: PC=0x020 instruction = 0xE80 (CLA), rA = 0x000, rL = 0
Time 34: PC=0x021 instruction = 0xA1B (JMP), rA = 0x000, rL = 0
Time 37: PC=0x01B instruction = 0x318 (TAD I), rA = 0x061, rL = 0
Time 38: PC=0x01C instruction = 0xF28 (SZA RSS), rA = 0x061, rL = 0
Time 39: PC=0x01E instruction = 0xC20 (IOT 4), rA = 0x061, rL = 0
Time 41: PC=0x01F instruction = 0x418 (ISZ), rA = 0x061, rL = 0
Time 42: PC=0x020 instruction = 0xE80 (CLA), rA = 0x000, rL = 0
Time 43: PC=0x021 instruction = 0xA1B (JMP), rA = 0x000, rL = 0
Time 46: PC=0x01B instruction = 0x318 (TAD I), rA = 0x073, rL = 0
Time 47: PC=0x01C instruction = 0xF28 (SZA RSS), rA = 0x073, rL = 0
Time 48: PC=0x01E instruction = 0xC20 (IOT 4), rA = 0x073, rL = 0
Time 50: PC=0x01F instruction = 0x418 (ISZ), rA = 0x073, rL = 0
Time 51: PC=0x020 instruction = 0xE80 (CLA), rA = 0x000, rL = 0
Time 52: PC=0x021 instruction = 0xA1B (JMP), rA = 0x000, rL = 0
Time 55: PC=0x01B instruction = 0x318 (TAD I), rA = 0x065, rL = 0
Time 56: PC=0x01C instruction = 0xF28 (SZA RSS), rA = 0x065, rL = 0
Time 57: PC=0x01E instruction = 0xC20 (IOT 4), rA = 0x065, rL = 0
Time 59: PC=0x01F instruction = 0x418 (ISZ), rA = 0x065, rL = 0
Time 60: PC=0x020 instruction = 0xE80 (CLA), rA = 0x000, rL = 0
Time 61: PC=0x021 instruction = 0xA1B (JMP), rA = 0x000, rL = 0
Time 64: PC=0x01B instruction = 0x318 (TAD I), rA = 0x020, rL = 0
Time 65: PC=0x01C instruction = 0xF28 (SZA RSS), rA = 0x020, rL = 0
Time 66: PC=0x01E instruction = 0xC20 (IOT 4), rA = 0x020, rL = 0
Time 68: PC=0x01F instruction = 0x418 (ISZ), rA = 0x020, rL = 0
Time 69: PC=0x020 instruction = 0xE80 (CLA), rA = 0x000, rL = 0
Time 70: PC=0x021 instruction = 0xA1B (JMP), rA = 0x000, rL = 0
Time 73: PC=0x01B instruction = 0x318 (TAD I), rA = 0x074, rL = 0
Time 74: PC=0x01C instruction = 0xF28 (SZA RSS), rA = 0x074, rL = 0
Time 75: PC=0x01E instruction = 0xC20 (IOT 4), rA = 0x074, rL = 0
Time 77: PC=0x01F instruction = 0x418 (ISZ), rA = 0x074, rL = 0
Time 78: PC=0x020 instruction = 0xE80 (CLA), rA = 0x000, rL = 0
Time 79: PC=0x021 instruction = 0xA1B (JMP), rA = 0x000, rL = 0
Time 82: PC=0x01B instruction = 0x318 (TAD I), rA = 0x079, rL = 0
Time 83: PC=0x01C instruction = 0xF28 (SZA RSS), rA = 0x079, rL = 0
Time 84: PC=0x01E instruction = 0xC20 (IOT 4), rA = 0x079, rL = 0
Time 86: PC=0x01F instruction = 0x418 (ISZ), rA = 0x079, rL = 0
Time 87: PC=0x020 instruction = 0xE80 (CLA), rA = 0x000, rL = 0
Time 88: PC=0x021 instruction = 0xA1B (JMP), rA = 0x000, rL = 0
Time 91: PC=0x01B instruction = 0x318 (TAD I), rA = 0x070, rL = 0
Time 92: PC=0x01C instruction = 0xF28 (SZA RSS), rA = 0x070, rL = 0
Time 93: PC=0x01E instruction = 0xC20 (IOT 4), rA = 0x070, rL = 0
Time 95: PC=0x01F instruction = 0x418 (ISZ), rA = 0x070, rL = 0
Time 96: PC=0x020 instruction = 0xE80 (CLA), rA = 0x000, rL = 0
Time 97: PC=0x021 instruction = 0xA1B (JMP), rA = 0x000, rL = 0
Time 100: PC=0x01B instruction = 0x318 (TAD I), rA = 0x065, rL = 0
Time 101: PC=0x01C instruction = 0xF28 (SZA RSS), rA = 0x065, rL = 0
Time 102: PC=0x01E instruction = 0xC20 (IOT 4), rA = 0x065, rL = 0
Time 104: PC=0x01F instruction = 0x418 (ISZ), rA = 0x065, rL = 0
Time 105: PC=0x020 instruction = 0xE80 (CLA), rA = 0x000, rL = 0
Time 106: PC=0x021 instruction = 0xA1B (JMP), rA = 0x000, rL = 0
Time 109: PC=0x01B instruction = 0x318 (TAD I), rA = 0x020, rL = 0
Time 110: PC=0x01C instruction = 0xF28 (SZA RSS), rA = 0x020, rL = 0
Time 111: PC=0x01E instruction = 0xC20 (IOT 4), rA = 0x020, rL = 0
Time 113: PC=0x01F instruction = 0x418 (ISZ), rA = 0x020, rL = 0
